,Time,bus_count,car_count,taxi_count,motorcycle_count,tricycle_count
517,6330.00,0,1,0,0,0
518,6335.00,0,1,0,0,0
519,6340.00,0,1,0,0,0
520,6345.00,0,1,0,0,0
521,635.00,0,1,1,3,0
522,6350.00,0,1,0,0,0
523,6355.00,0,1,0,0,0
524,6360.00,0,1,0,0,0
525,6365.00,0,1,0,0,0
526,6370.00,0,1,0,0,0
527,6375.00,0,1,0,0,0
528,6380.00,0,1,0,0,0
529,6385.00,0,2,0,0,0
530,6390.00,0,2,0,0,0
531,6395.00,0,2,0,0,0
532,640.00,0,1,1,3,0
533,6400.00,0,2,0,0,0
534,6405.00,0,2,0,0,0
535,6410.00,0,2,0,0,0
536,6415.00,0,2,0,0,0
537,6420.00,0,2,0,0,0
538,6425.00,0,2,0,0,0
539,6430.00,0,2,0,0,0
540,6435.00,0,2,0,0,0
541,6440.00,0,2,0,0,0
542,6445.00,0,2,0,0,0
543,645.00,0,1,1,3,0
544,6450.00,0,2,0,0,0
545,6455.00,0,2,0,0,0
546,6460.00,0,2,0,0,0
547,6465.00,0,2,0,0,0
548,6470.00,0,2,0,0,0
549,6475.00,0,2,0,0,0
550,6480.00,0,2,0,0,0
551,6485.00,0,2,0,0,0
552,6490.00,0,2,0,0,0
553,6495.00,0,2,0,0,0
554,65.00,10,0,0,2,0
555,650.00,0,1,1,3,0
556,6500.00,0,2,0,0,0
557,6505.00,0,2,0,0,0
558,6510.00,0,2,0,0,0
559,6515.00,0,2,0,0,0
560,6520.00,0,2,0,0,0
561,6525.00,0,2,0,0,0
562,6530.00,0,2,0,0,0
563,6535.00,0,2,0,0,0
564,6540.00,0,2,0,0,0
565,6545.00,0,2,0,0,0
566,655.00,0,1,1,3,0
567,6550.00,0,2,0,0,0
568,6555.00,0,2,0,0,0
569,6560.00,0,2,0,0,0
570,6565.00,0,2,0,0,0
571,6570.00,0,2,0,0,0
572,6575.00,0,2,0,0,0
573,6580.00,0,3,0,0,0
574,6585.00,0,3,0,0,0
575,6590.00,0,3,0,0,0
576,6595.00,0,3,0,0,0
577,660.00,0,1,1,3,0
578,6600.00,0,3,0,0,0
579,6605.00,0,3,0,0,0
580,6610.00,0,3,0,0,0
581,6615.00,0,3,0,0,0
582,6620.00,0,3,0,0,0
583,6625.00,0,3,0,0,0
584,6630.00,0,3,0,0,0
585,6635.00,0,3,0,0,0
586,6640.00,0,3,0,0,0
587,6645.00,0,3,0,0,0
588,665.00,0,1,1,3,0
589,6650.00,0,3,0,0,0
590,6655.00,0,3,0,0,0
591,6660.00,0,3,0,0,0
592,6665.00,0,3,0,0,0
593,6670.00,0,3,0,0,0
594,6675.00,0,3,0,0,0
595,6680.00,0,3,0,0,0
596,6685.00,0,3,0,0,0
597,6690.00,0,3,0,0,0
598,6695.00,0,3,0,0,0
599,670.00,0,1,1,3,0
600,6700.00,0,3,0,0,0
601,6705.00,0,3,0,0,0
602,6710.00,0,3,0,0,0
603,6715.00,0,3,0,0,0
604,6720.00,0,2,0,0,0
605,6725.00,0,2,0,0,0
606,6730.00,0,2,0,0,0
607,6735.00,0,2,0,0,0
608,6740.00,0,2,0,0,0
609,6745.00,0,2,0,0,0
610,675.00,0,1,0,3,0
611,6750.00,0,2,0,0,0
612,6755.00,0,2,0,0,0
613,6760.00,0,2,0,0,0
614,6765.00,0,2,0,0,0
615,6770.00,0,2,0,0,0
616,6775.00,0,2,0,0,0
617,6780.00,0,2,0,0,0
618,6785.00,0,2,0,0,0
619,6790.00,0,2,0,0,0
620,6795.00,0,2,0,0,0
621,680.00,0,1,0,3,0
622,6800.00,0,2,0,0,0
623,6805.00,0,2,0,0,0
624,6810.00,0,2,0,0,0
625,6815.00,0,2,0,0,0
626,6820.00,0,2,0,0,0
627,6825.00,0,2,0,0,0
628,6830.00,0,2,0,0,0
629,6835.00,0,2,0,0,0
630,6840.00,0,2,0,0,0
631,6845.00,0,2,0,0,0
632,685.00,0,1,0,3,0
633,6850.00,0,2,0,0,0
634,6855.00,0,2,0,0,0
635,6860.00,0,1,0,0,0
636,6865.00,0,2,0,0,0
637,6870.00,0,2,0,0,0
638,6875.00,0,1,0,0,0
639,6880.00,0,1,0,0,0
640,6885.00,0,1,0,0,0
641,6890.00,0,1,0,0,0
642,6895.00,1,1,0,0,0
643,690.00,0,1,0,3,0
644,6900.00,1,1,0,0,0
